Week,ice cream,Volleyball,tennis,full moon
2011-09-03,25,18,83,26
2011-09-10,21,18,58,50
2011-09-17,20,18,25,14
2011-09-24,21,18,24,17
2011-10-01,20,18,24,21
2011-10-08,20,18,23,55
2011-10-15,27,19,22,13
2011-10-22,21,21,21,16
2011-10-29,19,22,20,17
2011-11-05,19,22,21,56
2011-11-12,21,20,20,16
2011-11-19,22,15,22,12
2011-11-26,19,14,21,15
2011-12-03,19,12,19,39
2011-12-10,21,11,19,21
2011-12-17,24,8,18,12
2011-12-24,23,7,19,14
2011-12-31,21,10,21,27
2012-01-07,22,12,22,48
2012-01-14,22,11,28,14
2012-01-21,22,12,33,16
2012-01-28,22,11,29,19
2012-02-04,23,11,23,47
2012-02-11,22,11,23,13
2012-02-18,22,11,25,15
2012-02-25,23,12,26,16
2012-03-03,23,12,27,53
2012-03-10,26,11,32,14
2012-03-17,27,11,32,14
2012-03-24,26,13,32,16
2012-03-31,28,12,27,50
2012-04-07,27,14,26,19
2012-04-14,28,13,28,14
2012-04-21,28,12,28,16
2012-04-28,29,12,28,53
2012-05-05,32,11,29,35
2012-05-12,33,11,32,13
2012-05-19,34,11,32,14
2012-05-26,37,11,37,21
2012-06-02,34,11,40,43
2012-06-09,38,11,38,14
2012-06-16,40,11,30,16
2012-06-23,42,11,36,19
2012-06-30,46,10,43,58
2012-07-07,40,12,41,14
2012-07-14,39,11,30,16
2012-07-21,35,19,32,18
2012-07-28,34,53,58,64
2012-08-04,31,46,41,16
2012-08-11,29,22,31,15
2012-08-18,28,18,34,18
2012-08-25,26,19,52,58
2012-09-01,25,19,77,17
2012-09-08,22,19,55,14
2012-09-15,21,18,23,18
2012-09-22,20,18,22,45
2012-09-29,19,18,21,37
2012-10-06,18,18,21,14
2012-10-13,18,19,20,17
2012-10-20,18,20,20,28
2012-10-27,15,20,18,52
2012-11-03,15,21,18,11
2012-11-10,17,19,19,15
2012-11-17,19,13,17,14
2012-11-24,16,13,18,53
2012-12-01,16,12,17,12
